repo,cve,type,version
linux,CVE-2021-47024,pre,v4.15
linux,CVE-2021-47024,vul,v5.2
linux,CVE-2021-47024,vul,v5.6
linux,CVE-2021-47050,vul,v5.10
linux,CVE-2021-47055,fix,v6.1
linux,CVE-2021-47055,vul,v5.11
linux,CVE-2021-47055,vul,v5.9
linux,CVE-2021-47056,vul,v5.1
linux,CVE-2021-47060,pre,v5.1
linux,CVE-2021-47060,vul,v5.10
linux,CVE-2021-47060,vul,v5.9
linux,CVE-2021-47061,pre,v5.1
linux,CVE-2021-47061,vul,v5.10
linux,CVE-2021-47067,vul,v5.6
linux,CVE-2021-47071,vul,v5.11
linux,CVE-2021-47074,fix,v6.7
linux,CVE-2021-47091,vul,v5.10
linux,CVE-2021-47091,vul,v5.11
linux,CVE-2021-47102,vul,v5.15
linux,CVE-2021-47109,vul,v5.10
linux,CVE-2021-47110,vul,v3.10
linux,CVE-2021-47111,vul,v5.10
linux,CVE-2021-47111,vul,v5.5
linux,CVE-2021-47112,vul,v4.15
linux,CVE-2021-47122,vul,v3.11
linux,CVE-2021-47122,vul,v3.3
linux,CVE-2021-47126,vul,v5.3
linux,CVE-2021-47126,vul,v5.7
linux,CVE-2021-47138,vul,v5.6
linux,CVE-2021-47139,vul,v5.11
linux,CVE-2021-47169,vul,v3.9
linux,CVE-2021-47169,vul,v4.18
linux,CVE-2022-0487,vul,v3.16
linux,CVE-2022-0487,vul,v5.10
linux,CVE-2022-1012,fix,v6.15
linux,CVE-2022-1012,fix,v6.3
linux,CVE-2022-1012,vul,v3.9
linux,CVE-2022-1055,pre,v4.20
linux,CVE-2022-1055,vul,v5.1
linux,CVE-2022-1055,vul,v5.5
linux,CVE-2022-1263,vul,v5.11
linux,CVE-2022-1353,vul,v2.6.39
linux,CVE-2022-1508,vul,v5.12
linux,CVE-2022-1734,vul,v4.13
linux,CVE-2022-1943,vul,v5.16
linux,CVE-2022-1998,vul,v5.15
linux,CVE-2022-20132,vul,v4.17
linux,CVE-2022-20422,vul,v3.19
linux,CVE-2022-20422,vul,v4.18
linux,CVE-2022-20565,vul,v3.5
linux,CVE-2022-22942,vul,v5.2
linux,CVE-2022-23039,vul,v3.17
linux,CVE-2022-23042,fix,v5.19
linux,CVE-2022-23042,fix,v6.0
linux,CVE-2022-24958,fix,v5.17
linux,CVE-2022-24958,fix,v5.19
linux,CVE-2022-24958,vul,v4.10
linux,CVE-2022-25258,vul,v4.7
linux,CVE-2022-26373,vul,v5.2
linux,CVE-2022-26966,vul,v5.1
linux,CVE-2022-27950,vul,v5.16
linux,CVE-2022-29156,vul,v5.12
linux,CVE-2022-29156,vul,v5.13
linux,CVE-2022-29581,vul,v5.1
linux,CVE-2022-2991,vul,v4.19
linux,CVE-2022-30594,vul,v4.10
linux,CVE-2022-3107,vul,v5.6
linux,CVE-2022-3110,vul,v5.15
linux,CVE-2022-3110,vul,v5.16
linux,CVE-2022-33740,vul,v5.9
linux,CVE-2022-33743,fix,v6.0
linux,CVE-2022-33743,vul,v5.16
linux,CVE-2022-3524,fix,v6.6
linux,CVE-2022-3543,pre,v5.13
linux,CVE-2022-3543,vul,v5.15
linux,CVE-2022-3543,vul,v5.17
linux,CVE-2022-3564,vul,v3.13
linux,CVE-2022-3566,vul,v3.14
linux,CVE-2022-3567,fix,v6.6
linux,CVE-2022-3577,fix,v6.2
linux,CVE-2022-3577,vul,v5.6
linux,CVE-2022-3586,vul,v2.6.39
linux,CVE-2022-3586,vul,v3.18
linux,CVE-2022-3619,vul,v5.13
linux,CVE-2022-3623,pre,v4.20
linux,CVE-2022-3623,vul,v5.13
linux,CVE-2022-3643,pre,v3.17
linux,CVE-2022-3643,vul,v3.19
linux,CVE-2022-3643,vul,v5.0
linux,CVE-2022-42432,vul,v5.7
linux,CVE-2022-42720,vul,v5.1
linux,CVE-2022-42720,vul,v5.11
linux,CVE-2022-42722,vul,v5.8
linux,CVE-2022-4378,pre,v5.2
linux,CVE-2022-4378,vul,v5.19
linux,CVE-2022-4378,vul,v5.8
linux,CVE-2022-4382,pre,v4.6
linux,CVE-2022-4382,vul,v5.10
linux,CVE-2022-4382,vul,v5.3
linux,CVE-2022-45934,fix,v6.9
linux,CVE-2022-4696,vul,v5.11
linux,CVE-2022-47942,vul,v5.15
linux,CVE-2022-47942,vul,v5.17
linux,CVE-2023-0030,fix,v5.14
linux,CVE-2023-0030,fix,v6.6
linux,CVE-2023-0030,vul,v4.15
linux,CVE-2023-0030,vul,v4.16
linux,CVE-2023-1252,vul,v5.6
linux,CVE-2023-1252,vul,v5.8
linux,CVE-2023-1989,vul,v2.6.24
linux,CVE-2023-1998,vul,v5.19
linux,CVE-2023-1998,vul,v6.0
linux,CVE-2023-2008,vul,v4.20
linux,CVE-2023-2008,vul,v5.0
linux,CVE-2023-2019,vul,v5.12
linux,CVE-2023-2019,vul,v5.13
linux,CVE-2023-21255,vul,v5.16
linux,CVE-2023-21255,vul,v6.0
linux,CVE-2023-21264,fix,v6.14
linux,CVE-2023-21264,vul,v5.17
linux,CVE-2023-21264,vul,v6.1
linux,CVE-2023-2177,pre,v4.13
linux,CVE-2023-2177,vul,v4.15
linux,CVE-2023-2177,vul,v5.1
linux,CVE-2023-22999,vul,v5.12
linux,CVE-2023-22999,vul,v5.13
linux,CVE-2023-23000,vul,v4.15
linux,CVE-2023-2483,vul,v4.10
linux,CVE-2023-25012,vul,v5.16
linux,CVE-2023-25012,vul,v5.6
linux,CVE-2023-25775,vul,v5.14
linux,CVE-2023-28327,pre,v4.14
linux,CVE-2023-28327,vul,v5.17
linux,CVE-2023-28327,vul,v5.3
linux,CVE-2023-2898,vul,v5.13
linux,CVE-2023-2898,vul,v5.8
linux,CVE-2023-2985,fix,v6.3
linux,CVE-2023-3090,vul,v4.6
linux,CVE-2023-3106,vul,v3.15
linux,CVE-2023-3106,vul,v4.3
linux,CVE-2023-31248,fix,v6.13
linux,CVE-2023-31248,vul,v5.15
linux,CVE-2023-32233,vul,v5.1
linux,CVE-2023-33203,vul,v4.10
linux,CVE-2023-3338,vul,v4.2
linux,CVE-2023-34319,pre,v4.6
linux,CVE-2023-34319,vul,v6.3
linux,CVE-2023-35001,fix,v6.5
linux,CVE-2023-4147,fix,v6.13
linux,CVE-2023-4147,vul,v5.15
linux,CVE-2023-4194,vul,v6.4
