repo,cve,type,version
ImageMagick,CVE-2021-20313,pre,7.0.7-17
ImageMagick,CVE-2021-20313,vul,7.0.7-39
ImageMagick,CVE-2021-20313,vul,7.0.9-15
linux,CVE-2021-20317,vul,v2.6.38
linux,CVE-2021-20317,vul,v4.10
linux,CVE-2021-20320,vul,v4.1
linux,CVE-2021-20320,vul,v5.0
linux,CVE-2021-20321,vul,v4.10
linux,CVE-2021-20321,vul,v4.16
wireshark,CVE-2021-22207,pre,v2.0.1
wireshark,CVE-2021-22207,vul,v3.0.2
wireshark,CVE-2021-22207,vul,v2.0.8
wireshark,CVE-2021-22235,vul,v3.2.14
wireshark,CVE-2021-22235,vul,v3.4.6
linux,CVE-2021-22543,vul,v4.8
linux,CVE-2021-22543,vul,v5.9
linux,CVE-2021-22600,vul,v5.6
linux,CVE-2021-22600,vul,v5.9
curl,CVE-2021-22876,vul,curl-7_19_5
curl,CVE-2021-22876,vul,curl-7_66_0
curl,CVE-2021-22897,vul,curl-7_76_0
curl,CVE-2021-22897,vul,curl-7_75_0
curl,CVE-2021-22898,vul,curl-7_9_3
curl,CVE-2021-22898,vul,curl-7_52_0
curl,CVE-2021-22922,vul,curl-7_56_0
curl,CVE-2021-22922,vul,curl-7_48_0
curl,CVE-2021-22923,vul,curl-7_56_0
curl,CVE-2021-22923,vul,curl-7_48_0
curl,CVE-2021-22925,vul,curl-7_9_3
curl,CVE-2021-22925,vul,curl-7_52_0
curl,CVE-2021-22926,vul,curl-7_76_0
curl,CVE-2021-22926,vul,curl-7_72_0
linux,CVE-2021-26930,vul,v3.11
linux,CVE-2021-26931,vul,v3.0
linux,CVE-2021-26931,vul,v3.11
linux,CVE-2021-27363,vul,v2.6.15
linux,CVE-2021-27363,vul,v3.3
linux,CVE-2021-28038,vul,v3.15
linux,CVE-2021-28038,vul,v4.0
linux,CVE-2021-28660,vul,v3.12
linux,CVE-2021-28660,vul,v3.19
linux,CVE-2021-28691,vul,v5.5
linux,CVE-2021-28691,vul,v5.10
linux,CVE-2021-28711,vul,v2.6.23
linux,CVE-2021-28711,vul,v3.9
linux,CVE-2021-28713,vul,v2.6.38
linux,CVE-2021-28713,vul,v3.18
linux,CVE-2021-28951,vul,v5.10
linux,CVE-2021-28951,vul,v5.11
linux,CVE-2021-28951,fix,v5.12
linux,CVE-2021-28964,vul,v3.7
linux,CVE-2021-28964,vul,v4.2
linux,CVE-2021-29155,vul,v5.3
linux,CVE-2021-29264,pre,v4.6
linux,CVE-2021-29264,vul,v4.8
linux,CVE-2021-29264,vul,v4.16
openjpeg,CVE-2021-29338,vul,version.2.0
openjpeg,CVE-2021-29338,vul,v2.3.0
linux,CVE-2021-31916,vul,v2.6.12
linux,CVE-2021-31916,vul,v4.13
linux,CVE-2021-32606,vul,v5.11
linux,CVE-2021-32606,vul,v5.12
linux,CVE-2021-32606,fix,v6.5
linux,CVE-2021-33061,vul,v3.2
linux,CVE-2021-33061,vul,v4.3
linux,CVE-2021-33098,pre,v3.5
linux,CVE-2021-33098,vul,v3.8
linux,CVE-2021-33098,vul,v4.7
linux,CVE-2021-33656,vul,v2.6.37
linux,CVE-2021-33656,vul,v3.5
linux,CVE-2021-34693,vul,v2.6.25
linux,CVE-2021-34693,vul,v2.6.29
linux,CVE-2021-34866,vul,v5.8
linux,CVE-2021-34866,vul,v5.10
linux,CVE-2021-3493,vul,v2.6.32
linux,CVE-2021-3506,vul,v3.17
linux,CVE-2021-3506,vul,v4.6
linux,CVE-2021-3564,vul,v3.13
linux,CVE-2021-3564,vul,v4.8
linux,CVE-2021-3573,vul,v2.6.12
linux,CVE-2021-3573,vul,v3.4
linux,CVE-2021-3600,vul,v4.15
linux,CVE-2021-3600,vul,v4.20
linux,CVE-2021-3609,vul,v2.6.25
linux,CVE-2021-3609,vul,v4.8
linux,CVE-2021-3609,fix,v6.5
linux,CVE-2021-3609,fix,v6.15
ImageMagick,CVE-2021-3610,vul,7.0.10-10
ImageMagick,CVE-2021-3610,vul,7.0.9-27
linux,CVE-2021-3640,vul,v2.6.12
linux,CVE-2021-3640,vul,v2.6.35
linux,CVE-2021-3655,vul,v2.6.12
linux,CVE-2021-3655,vul,v3.15
linux,CVE-2021-3669,vul,v2.6.24
linux,CVE-2021-3669,vul,v3.14
linux,CVE-2021-3679,vul,v2.6.28
linux,CVE-2021-3679,vul,v2.6.32
linux,CVE-2021-3715,pre,v3.16
linux,CVE-2021-3715,vul,v3.18
linux,CVE-2021-3715,vul,v4.14
linux,CVE-2021-37159,vul,v2.6.27
linux,CVE-2021-37159,vul,v3.17
linux,CVE-2021-3732,vul,v3.18
linux,CVE-2021-3732,vul,v4.10
linux,CVE-2021-3739,vul,v4.20
linux,CVE-2021-3739,vul,v5.2
linux,CVE-2021-3752,vul,v3.8
FFmpeg,CVE-2021-38090,pre,n3.4
FFmpeg,CVE-2021-38090,vul,n4.1.10
FFmpeg,CVE-2021-38090,vul,n4.2.2
FFmpeg,CVE-2021-38091,pre,n3.4
FFmpeg,CVE-2021-38091,vul,n4.1.10
FFmpeg,CVE-2021-38091,vul,n4.2.2
FFmpeg,CVE-2021-38092,vul,n4.1.10
FFmpeg,CVE-2021-38092,vul,n3.2.12
FFmpeg,CVE-2021-38093,pre,n3.4
FFmpeg,CVE-2021-38093,vul,n4.1.10
FFmpeg,CVE-2021-38093,vul,n4.2.2
FFmpeg,CVE-2021-38094,pre,n3.4
FFmpeg,CVE-2021-38094,vul,n4.1.10
FFmpeg,CVE-2021-38094,vul,n4.2.2
linux,CVE-2021-38199,pre,v3.14
linux,CVE-2021-38199,vul,v4.8
linux,CVE-2021-38199,vul,v4.13
linux,CVE-2021-38205,vul,v3.2
linux,CVE-2021-38205,vul,v4.8
linux,CVE-2021-38206,pre,v5.5
linux,CVE-2021-38206,vul,v5.9
linux,CVE-2021-38206,vul,v5.11
linux,CVE-2021-38207,vul,v5.6
linux,CVE-2021-38207,vul,v5.7
ImageMagick,CVE-2021-39212,pre,7.0.7-23
ImageMagick,CVE-2021-3962,pre,7.1.0-10
ImageMagick,CVE-2021-3962,vul,7.1.0-13
ImageMagick,CVE-2021-3962,vul,7.1.0-12
linux,CVE-2021-39634,vul,v3.4
linux,CVE-2021-39657,vul,v3.16
linux,CVE-2021-39657,vul,v4.11
linux,CVE-2021-39685,vul,v2.6.27
linux,CVE-2021-39685,vul,v4.2
wireshark,CVE-2021-39922,vul,v1.10.8
wireshark,CVE-2021-39922,vul,v1.8.12
wireshark,CVE-2021-39923,vul,v1.10.8
wireshark,CVE-2021-39923,vul,wireshark-1.4.5
wireshark,CVE-2021-39924,vul,v1.10.8
wireshark,CVE-2021-39924,vul,v1.8.12
wireshark,CVE-2021-39924,fix,v4.6.0
wireshark,CVE-2021-39925,vul,v1.10.8
wireshark,CVE-2021-39928,vul,v3.0.2
wireshark,CVE-2021-39928,vul,v3.4.2
linux,CVE-2021-4002,vul,v3.6
linux,CVE-2021-4002,vul,v4.5
linux,CVE-2021-4028,pre,v4.2
linux,CVE-2021-4028,vul,v5.10
linux,CVE-2021-4028,vul,v5.11
httpd,CVE-2021-40438,pre,2.4.7
httpd,CVE-2021-40438,vul,2.4.40
httpd,CVE-2021-40438,vul,2.4.48
linux,CVE-2021-4083,vul,v5.6
linux,CVE-2021-4083,vul,v5.11
linux,CVE-2021-4095,vul,v5.12
linux,CVE-2021-4095,vul,v5.15
linux,CVE-2021-4148,vul,v5.4
linux,CVE-2021-4149,vul,v4.11
linux,CVE-2021-4159,vul,v4.14
linux,CVE-2021-4159,vul,v4.19
wireshark,CVE-2021-4181,vul,v3.4.9
wireshark,CVE-2021-4182,vul,v3.0.2
wireshark,CVE-2021-4182,vul,v2.9.0
wireshark,CVE-2021-4186,vul,v3.4.9
wireshark,CVE-2021-4186,vul,v3.5.0
linux,CVE-2021-4203,pre,v2.6.34
