vul_id,repo,fixed_commit_sha,tag,version,vuddy,movery,v1scan,fire,vulture,verdict
CVE-2020-22044,FFmpeg/FFmpeg,c7c2f4975b23dc2ba6b3324a41bb495fcb4656d6,fix,n3.2.18,TN,TN,TN,TN,TN,TN
CVE-2020-22054,FFmpeg/FFmpeg,6f2a3958cfac135c60b509a61a4fd39432d8f9a9,vul,n3.4.4,FN,TP,FN,TP,FN,TP
CVE-2020-22054,FFmpeg/FFmpeg,6f2a3958cfac135c60b509a61a4fd39432d8f9a9,vul,n4.2.2,FN,TP,TP,TP,FN,TP
CVE-2020-22054,FFmpeg/FFmpeg,6f2a3958cfac135c60b509a61a4fd39432d8f9a9,fix,n6.0,TN,TN,TN,TN,TN,TN
CVE-2020-22054,FFmpeg/FFmpeg,6f2a3958cfac135c60b509a61a4fd39432d8f9a9,fix,n8.0,TN,TN,TN,TN,TN,TN
CVE-2020-35965,FFmpeg/FFmpeg,b0a8b40294ea212c1938348ff112ef1b9bf16bb3,vul,n2.1.2,FN,FN,FN,FN,FN,FN
CVE-2020-35965,FFmpeg/FFmpeg,b0a8b40294ea212c1938348ff112ef1b9bf16bb3,vul,n3.3.2,FN,TP,FN,FN,FN,FN
CVE-2020-35965,FFmpeg/FFmpeg,b0a8b40294ea212c1938348ff112ef1b9bf16bb3,fix,n6.1,TN,TN,FP,TN,TN,TN
CVE-2020-35965,FFmpeg/FFmpeg,b0a8b40294ea212c1938348ff112ef1b9bf16bb3,fix,n8.0,TN,TN,FP,TN,TN,TN
CVE-2021-38090,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,pre,n3.4,TN,TN,TN,TN,TN,FP
CVE-2021-38090,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n4.1.10,FN,TP,FN,FN,FN,TP
CVE-2021-38090,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n4.2.2,FN,TP,TP,FN,FN,TP
CVE-2021-38090,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,fix,n6.0,TN,TN,TN,TN,TN,TN
CVE-2021-38091,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,pre,n3.4,TN,TN,TN,TN,TN,FP
CVE-2021-38091,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n4.1.10,FN,TP,FN,FN,FN,TP
CVE-2021-38091,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n4.2.2,FN,TP,TP,FN,FN,TP
CVE-2021-38091,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,fix,n6.0,TN,TN,TN,TN,TN,TN
CVE-2021-38092,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n4.1.10,FN,TP,FN,FN,FN,TP
CVE-2021-38092,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n3.2.12,FN,TP,FN,FN,FN,TP
CVE-2021-38092,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,fix,n4.4,TN,FP,TN,TN,TN,TN
CVE-2021-38092,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,fix,n6.0,TN,FP,TN,TN,TN,TN
CVE-2021-38093,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,pre,n3.4,TN,TN,TN,TN,TN,FP
CVE-2021-38093,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n4.1.10,FN,TP,FN,FN,FN,TP
CVE-2021-38093,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n4.2.2,FN,TP,TP,FN,FN,TP
CVE-2021-38093,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,fix,n6.0,TN,TN,TN,TN,TN,TN
CVE-2021-38094,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,pre,n3.4,TN,TN,TN,TN,TN,FP
CVE-2021-38094,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n4.1.10,FN,TP,FN,FN,FN,TP
CVE-2021-38094,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n4.2.2,FN,TP,TP,FN,FN,TP
CVE-2021-38094,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,fix,n6.0,TN,TN,TN,TN,TN,TN
CVE-2022-3109,FFmpeg/FFmpeg,656cb0450aeb73b25d7d26980af342b37ac4c568,pre,v0.6,TN,TN,TN,TN,TN,TN
CVE-2022-3109,FFmpeg/FFmpeg,656cb0450aeb73b25d7d26980af342b37ac4c568,vul,n3.1.4,FN,TP,FN,FN,FN,TP
CVE-2022-3109,FFmpeg/FFmpeg,656cb0450aeb73b25d7d26980af342b37ac4c568,vul,n1.1.2,FN,TP,FN,FN,FN,TP
CVE-2022-3109,FFmpeg/FFmpeg,656cb0450aeb73b25d7d26980af342b37ac4c568,fix,n8.0,TN,TN,TN,TN,TN,TN
CVE-2022-3341,FFmpeg/FFmpeg,9cf652cef49d74afe3d454f27d49eb1a1394951e,vul,n3.1.4,FN,TP,TP,FN,FN,FN
