cve,type,version_path
CVE-2020-15389,vul,uclouvain/openjpeg/CVE-2020-15389/vul/version.2.0.1
CVE-2021-29338,vul,uclouvain/openjpeg/CVE-2021-29338/vul/v2.3.0
CVE-2021-29338,vul,uclouvain/openjpeg/CVE-2021-29338/vul/version.2.0
CVE-2020-27841,vul,uclouvain/openjpeg/CVE-2020-27841/vul/v2.1.2
CVE-2020-27843,vul,uclouvain/openjpeg/CVE-2020-27843/vul/version.2.0
CVE-2020-8285,vul,curl/curl/CVE-2020-8285/vul/curl-7_37_1
CVE-2022-42915,vul,curl/curl/CVE-2022-42915/vul/curl-7_81_0
CVE-2022-27775,vul,curl/curl/CVE-2022-27775/vul/curl-7_76_0
CVE-2022-27775,vul,curl/curl/CVE-2022-27775/vul/curl-7_79_0
CVE-2023-38546,vul,curl/curl/CVE-2023-38546/vul/curl-7_9_3
CVE-2024-2466,vul,curl/curl/CVE-2024-2466/vul/curl-8_6_0
CVE-2022-27780,vul,curl/curl/CVE-2022-27780/vul/curl-7_80_0
CVE-2022-27780,vul,curl/curl/CVE-2022-27780/vul/curl-7_82_0
CVE-2021-22926,vul,curl/curl/CVE-2021-22926/vul/curl-7_76_0
CVE-2020-8177,vul,curl/curl/CVE-2020-8177/vul/curl-7_40_0
CVE-2020-8177,vul,curl/curl/CVE-2020-8177/vul/curl-7_56_0
CVE-2023-28320,vul,curl/curl/CVE-2023-28320/vul/curl-7_19_5
CVE-2023-28320,vul,curl/curl/CVE-2023-28320/vul/curl-7_66_0
CVE-2024-7264,vul,curl/curl/CVE-2024-7264/vul/curl-7_84_0
CVE-2023-28319,vul,curl/curl/CVE-2023-28319/vul/curl-7_83_0
CVE-2023-28319,vul,curl/curl/CVE-2023-28319/vul/curl-7_85_0
CVE-2023-28321,vul,curl/curl/CVE-2023-28321/vul/curl-7_84_0
CVE-2022-43552,vul,curl/curl/CVE-2022-43552/vul/curl-7_84_0
CVE-2020-8284,vul,curl/curl/CVE-2020-8284/vul/curl-7_65_3
CVE-2023-27533,vul,curl/curl/CVE-2023-27533/vul/curl-7_9_3
CVE-2023-27536,vul,curl/curl/CVE-2023-27536/vul/curl-7_37_1
CVE-2023-27536,vul,curl/curl/CVE-2023-27536/vul/curl-7_55_0
CVE-2022-22576,vul,curl/curl/CVE-2022-22576/vul/curl-7_40_0
CVE-2023-27535,vul,curl/curl/CVE-2023-27535/vul/curl-7_19_5
CVE-2023-27535,vul,curl/curl/CVE-2023-27535/vul/curl-7_49_1
CVE-2022-27782,vul,curl/curl/CVE-2022-27782/vul/curl-7_47_1
CVE-2020-8231,vul,curl/curl/CVE-2020-8231/vul/curl-7_56_0
CVE-2023-2248,fix,torvalds/linux/CVE-2023-2248/fix/v6.16
CVE-2024-26807,fix,torvalds/linux/CVE-2024-26807/fix/v6.11
CVE-2021-47004,fix,torvalds/linux/CVE-2021-47004/fix/v6.17
CVE-2022-3586,fix,torvalds/linux/CVE-2022-3586/fix/v6.1
CVE-2022-4129,fix,torvalds/linux/CVE-2022-4129/fix/v6.7
CVE-2020-8648,fix,torvalds/linux/CVE-2020-8648/fix/v6.16
CVE-2024-26767,fix,torvalds/linux/CVE-2024-26767/fix/v6.8
CVE-2021-3640,fix,torvalds/linux/CVE-2021-3640/fix/v5.16
CVE-2021-3640,fix,torvalds/linux/CVE-2021-3640/fix/v6.15
CVE-2022-1204,fix,torvalds/linux/CVE-2022-1204/fix/v6.15
CVE-2021-47014,fix,torvalds/linux/CVE-2021-47014/fix/v6.17
CVE-2023-45863,fix,torvalds/linux/CVE-2023-45863/fix/v6.3
CVE-2020-25656,fix,torvalds/linux/CVE-2020-25656/fix/v5.11
CVE-2020-25656,fix,torvalds/linux/CVE-2020-25656/fix/v6.7
CVE-2022-33981,fix,torvalds/linux/CVE-2022-33981/fix/v6.5
CVE-2020-10732,fix,torvalds/linux/CVE-2020-10732/fix/v5.18
CVE-2020-0429,fix,torvalds/linux/CVE-2020-0429/fix/v6.12
CVE-2020-16166,fix,torvalds/linux/CVE-2020-16166/fix/v5.18
CVE-2022-1012,fix,torvalds/linux/CVE-2022-1012/fix/v6.3
CVE-2021-46924,fix,torvalds/linux/CVE-2021-46924/fix/v6.2
CVE-2023-52622,fix,torvalds/linux/CVE-2023-52622/fix/v6.12
