project,cve,type,detected_version,vulnerability_paths
torvalds,CVE-2021-46997,vul,v5.12,./vul/testset/CVE-2021-46997##4d6a38da##entry-common.c_1_OLD.vul;./vul/testset/CVE-2021-46997##4d6a38da##entry-common.c_2_OLD.vul;./vul/testset/CVE-2021-46997##4d6a38da##entry-common.c_3_OLD.vul;./vul/testset/CVE-2021-46997##4d6a38da##entry-common.c_4_OLD.vul
torvalds,CVE-2021-46998,pre,v4.11,./vul/testset/CVE-2021-46998##643001b4##enic_main.c_1_OLD.vul
torvalds,CVE-2021-46998,vul,v4.16,./vul/testset/CVE-2021-46998##643001b4##enic_main.c_1_OLD.vul
torvalds,CVE-2021-46998,vul,v5.2,./vul/testset/CVE-2021-46998##643001b4##enic_main.c_2_OLD.vul
torvalds,CVE-2021-47004,vul,v4.20,./vul/testset/CVE-2021-47004##61461fc9##segment.c_4_OLD.vul
torvalds,CVE-2021-47007,vul,v5.11,./vul/testset/CVE-2021-47007##3ab0598e##gc.c_1_OLD.vul
torvalds,CVE-2021-47010,vul,v5.6,./vul/testset/CVE-2021-47010##8d432592##tcp_cong.c_1_OLD.vul
torvalds,CVE-2021-47013,vul,v4.9,./vul/testset/CVE-2021-47013##6d72e7c7##emac-mac.c_1_OLD.vul
torvalds,CVE-2021-47014,vul,v5.9,./vul/testset/CVE-2021-47014##f77bd544##act_ct.c_2_OLD.vul
torvalds,CVE-2021-47016,vul,v5.11,./vul/testset/CVE-2021-47016##43262178##config.c_1_OLD.vul;./vul/testset/CVE-2021-47016##43262178##config.c_2_OLD.vul;./vul/testset/CVE-2021-47016##43262178##config.c_3_OLD.vul;./vul/testset/CVE-2021-47016##43262178##config.c_4_OLD.vul
torvalds,CVE-2021-47024,pre,v4.15,./vul/testset/CVE-2021-47024##8432b811##virtio_transport_common.c_3_OLD.vul
torvalds,CVE-2021-47024,vul,v5.6,./vul/testset/CVE-2021-47024##8432b811##virtio_transport_common.c_3_OLD.vul
torvalds,CVE-2021-47034,vul,v5.8,./vul/testset/CVE-2021-47034##b8b2f37c##radix_pgtable.c_2_OLD.vul
torvalds,CVE-2021-47050,vul,v5.10,./vul/testset/CVE-2021-47050##59e27d7c##renesas-rpc-if.c_1_OLD.vul
torvalds,CVE-2021-47060,pre,v5.1,./vul/testset/CVE-2021-47060##5d3c4c79##coalesced_mmio.c_1_OLD.vul
torvalds,CVE-2021-47060,vul,v5.10,./vul/testset/CVE-2021-47060##5d3c4c79##coalesced_mmio.c_1_OLD.vul
torvalds,CVE-2021-47061,vul,v5.10,./vul/testset/CVE-2021-47061##2ee37574##kvm_main.c_4_OLD.vul
torvalds,CVE-2021-47067,vul,v5.6,./vul/testset/CVE-2021-47067##ef85bb58##regulators-tegra30.c_1_OLD.vul
torvalds,CVE-2021-47071,vul,v5.11,./vul/testset/CVE-2021-47071##3ee098f9##uio_hv_generic.c_1_OLD.vul
torvalds,CVE-2021-47102,vul,v5.15,./vul/testset/CVE-2021-47102##2efc2256##prestera_main.c_1_OLD.vul
torvalds,CVE-2021-47109,vul,v5.10,./vul/testset/CVE-2021-47109##7a6b1ab7##neighbour.c_5_OLD.vul
torvalds,CVE-2021-47112,vul,v4.15,./vul/testset/CVE-2021-47112##8b79feff##kvm.c_2_OLD.vul;./vul/testset/CVE-2021-47112##8b79feff##kvm.c_6_OLD.vul
torvalds,CVE-2021-47138,vul,v5.6,./vul/testset/CVE-2021-47138##88c380df##cxgb4_filter.c_1_OLD.vul
torvalds,CVE-2021-47153,vul,v4.8,./vul/testset/CVE-2021-47153##e4d8716c##i2c-i801.c_2_OLD.vul
torvalds,CVE-2021-47166,vul,v4.2,./vul/testset/CVE-2021-47166##0d0ea309##pagelist.c_3_OLD.vul
torvalds,CVE-2021-47169,vul,v3.9,./vul/testset/CVE-2021-47169##01600284##rp2.c_2_OLD.vul
torvalds,CVE-2021-47169,vul,v4.18,./vul/testset/CVE-2021-47169##01600284##rp2.c_3_OLD.vul
