repo,cve,type,version
linux,CVE-2021-46933,vul,v4.0
linux,CVE-2021-46933,vul,v4.1
linux,CVE-2021-46935,vul,v4.14
linux,CVE-2021-46935,vul,v4.15
linux,CVE-2021-46963,vul,v5.5
linux,CVE-2021-46963,vul,v5.6
linux,CVE-2021-46972,vul,v5.8
linux,CVE-2021-46982,vul,v5.8
linux,CVE-2021-47004,vul,v4.20
linux,CVE-2021-47004,vul,v5.4
linux,CVE-2021-47014,pre,v5.7
linux,CVE-2021-47014,vul,v5.8
linux,CVE-2021-47014,vul,v5.9
linux,CVE-2021-47024,pre,v4.15
linux,CVE-2021-47024,vul,v5.2
linux,CVE-2021-47024,vul,v5.6
linux,CVE-2021-47043,vul,v5.5
linux,CVE-2021-47043,vul,v5.8
linux,CVE-2021-47056,fix,v6.2
linux,CVE-2021-47056,pre,v4.5
linux,CVE-2021-47056,vul,v4.7
linux,CVE-2021-47056,vul,v5.1
linux,CVE-2021-47074,vul,v4.18
linux,CVE-2021-47074,vul,v4.8
linux,CVE-2021-47078,vul,v4.17
linux,CVE-2021-47078,vul,v4.8
linux,CVE-2021-47121,vul,v3.10
linux,CVE-2021-47122,vul,v3.11
linux,CVE-2021-47122,vul,v3.3
linux,CVE-2021-47126,vul,v5.3
linux,CVE-2021-47126,vul,v5.7
linux,CVE-2021-47139,pre,v5.2
linux,CVE-2021-47139,vul,v5.11
linux,CVE-2021-47139,vul,v5.6
linux,CVE-2021-47166,vul,v4.0
linux,CVE-2021-47169,vul,v3.9
linux,CVE-2021-47169,vul,v4.18
linux,CVE-2022-0001,vul,v4.20
linux,CVE-2022-0487,fix,v6.17
linux,CVE-2022-0487,fix,v6.6
linux,CVE-2022-0487,vul,v3.16
linux,CVE-2022-0487,vul,v5.10
linux,CVE-2022-1016,fix,v6.12
linux,CVE-2022-1048,vul,v3.7
linux,CVE-2022-1055,pre,v4.20
linux,CVE-2022-1055,vul,v5.1
linux,CVE-2022-1055,vul,v5.5
