vul_id,repo,fixed_commit_sha,patch_file,patch_func,target_file,target_func,CWE,vuln_type,judgement
CVE-2024-31585,FFmpeg/FFmpeg,81df787b53eb5c6433731f6eaaf7f2a94d8a8c80,libavfilter/avf_showspectrum.c,uninit,libavfilter/avf_showspatial.c,config_output,Unknown,Unknown,
CVE-2024-31585,FFmpeg/FFmpeg,81df787b53eb5c6433731f6eaaf7f2a94d8a8c80,libavfilter/avf_showspectrum.c,uninit,libavfilter/f_loop.c,auninit,Unknown,Unknown,
CVE-2024-31585,FFmpeg/FFmpeg,81df787b53eb5c6433731f6eaaf7f2a94d8a8c80,libavfilter/avf_showspectrum.c,uninit,libavfilter/af_sidechaincompress.c,uninit,Unknown,Unknown,
CVE-2024-31585,FFmpeg/FFmpeg,81df787b53eb5c6433731f6eaaf7f2a94d8a8c80,libavfilter/avf_showspectrum.c,showspectrumpic_filter_frame,libavfilter/af_adeclick.c,activate,Unknown,Unknown,
CVE-2024-31585,FFmpeg/FFmpeg,81df787b53eb5c6433731f6eaaf7f2a94d8a8c80,libavfilter/avf_showspectrum.c,showspectrumpic_filter_frame,libavfilter/af_axcorrelate.c,XCORRELATE_SLOW,Unknown,Unknown,
CVE-2024-31585,FFmpeg/FFmpeg,81df787b53eb5c6433731f6eaaf7f2a94d8a8c80,libavfilter/avf_showspectrum.c,showspectrumpic_filter_frame,libavfilter/avf_showspatial.c,spatial_activate,Unknown,Unknown,FP
CVE-2024-35366,FFmpeg/FFmpeg,0bed22d597b78999151e3bde0768b7fe763fc2a6,libavformat/sbgdec.c,parse_options,libavformat/sbgdec.c,lex_time,Unknown,Unknown,
CVE-2024-35368,FFmpeg/FFmpeg,4513300989502090c4fd6560544dce399a8cd53c,libavcodec/rkmppdec.c,rkmpp_retrieve_frame,libavdevice/kmsgrab.c,kmsgrab_read_packet,Unknown,Unknown,
CVE-2024-35368,FFmpeg/FFmpeg,4513300989502090c4fd6560544dce399a8cd53c,libavcodec/rkmppdec.c,rkmpp_retrieve_frame,libavutil/hwcontext.c,av_hwframe_ctx_alloc,Unknown,Unknown,
CVE-2024-36616,FFmpeg/FFmpeg,86f73277bf014e2ce36dd2594f1e0fb8b3bd6661,libavformat/westwood_vqa.c,wsvqa_read_packet,libavformat/cdxl.c,cdxl_read_packet,Unknown,Unknown,
CVE-2024-36617,FFmpeg/FFmpeg,d973fcbcc2f944752ff10e6a76b0b2d9329937a7,libavformat/cafdec.c,read_pakt_chunk,libavformat/mpc8.c,mpc8_read_header,Unknown,Unknown,
CVE-2024-36619,FFmpeg/FFmpeg,28c7094b25b689185155a6833caf2747b94774a4,libavcodec/wavarc.c,decode_5elp,libavcodec/g729postfilter.c,residual_filter,Unknown,Unknown,FP
CVE-2024-36619,FFmpeg/FFmpeg,28c7094b25b689185155a6833caf2747b94774a4,libavcodec/wavarc.c,decode_5elp,libavcodec/truespeech.c,truespeech_synth,Unknown,Unknown,FP
CVE-2024-36619,FFmpeg/FFmpeg,28c7094b25b689185155a6833caf2747b94774a4,libavcodec/wavarc.c,decode_5elp,libavcodec/sonic.c,sonic_encode_frame,Unknown,Unknown,
CVE-2024-7055,FFmpeg/FFmpeg,3faadbe2a27e74ff5bb5f7904ec27bb1f5287dc8,libavcodec/pnmdec.c,pnm_decode_frame,libavcodec/bmp.c,bmp_decode_frame,Unknown,Unknown,FP
CVE-2018-8789,FreeRDP/FreeRDP,2ee663f39dc8dac3d9988e847db19b2d7e3ac8c6,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_free_message_fields_buffer,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_free_message_fields_buffer,Unknown,Unknown,FP
CVE-2018-8789,FreeRDP/FreeRDP,2ee663f39dc8dac3d9988e847db19b2d7e3ac8c6,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_write_message_fields,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_write_message_fields,Unknown,Unknown,
CVE-2018-8789,FreeRDP/FreeRDP,2ee663f39dc8dac3d9988e847db19b2d7e3ac8c6,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_write_message_fields_buffer,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_read_message_fields_buffer,Unknown,Unknown,
CVE-2018-8789,FreeRDP/FreeRDP,2ee663f39dc8dac3d9988e847db19b2d7e3ac8c6,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_read_message_fields,libfreerdp/crypto/er.c,er_read_length,Unknown,Unknown,
CVE-2020-11048,FreeRDP/FreeRDP,9301bfe730c66180263248b74353daa99f5a969b,libfreerdp/core/rdp.c,rdp_read_flow_control_pdu,libfreerdp/crypto/er.c,er_read_length,Unknown,Unknown,TP
CVE-2020-11048,FreeRDP/FreeRDP,9301bfe730c66180263248b74353daa99f5a969b,libfreerdp/core/rdp.c,rdp_read_share_control_header,libfreerdp/core/rdstls.c,rdstls_parse_pdu_data_type,Unknown,Unknown,FP
CVE-2020-11058,FreeRDP/FreeRDP,3627aaf7d289315b614a584afb388f04abfb5bbf,libfreerdp/core/capabilities.c,rdp_read_font_capability_set,libfreerdp/utils/rdpdr_utils.c,rdpdr_dump_packet,Unknown,Unknown,
CVE-2020-11085,FreeRDP/FreeRDP,b73143cf7ee5fe4cdabcbf56908aa15d8a883821,channels/cliprdr/cliprdr_common.c,cliprdr_free_format_list,client/X11/xf_cliprdr.c,xf_clipboard_free_server_formats,Unknown,Unknown,
CVE-2020-11087,FreeRDP/FreeRDP,8241ab42fdf0cc89cf69fc574bf6360c9977a0d4,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_read_AuthenticateMessage,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_read_NegotiateMessage,Unknown,Unknown,
CVE-2020-11098,FreeRDP/FreeRDP,c0fd449ec0870b050d350d6d844b1ea6dad4bc7d,libfreerdp/cache/glyph.c,glyph_cache_put,libfreerdp/cache/glyph.c,glyph_cache_get,Unknown,Unknown,TP
CVE-2020-11098,FreeRDP/FreeRDP,c0fd449ec0870b050d350d6d844b1ea6dad4bc7d,libfreerdp/cache/glyph.c,glyph_cache_put,libfreerdp/cache/glyph.c,glyph_cache_fragment_get,Unknown,Unknown,
CVE-2020-11099,FreeRDP/FreeRDP,6ade7b4cbfd71c54b3d724e8f2d6ac76a58e879a,libfreerdp/core/license.c,license_read_new_or_upgrade_license_packet,channels/rdpgfx/client/rdpgfx_codec.c,rdpgfx_decode_AVC444,Unknown,Unknown,
CVE-2020-11525,FreeRDP/FreeRDP,58dc36b3c883fd460199cedb6d30e58eba58298c,libfreerdp/cache/bitmap.c,bitmap_cache_new,libfreerdp/cache/offscreen.c,offscreen_cache_new,Unknown,Unknown,
CVE-2020-13396,FreeRDP/FreeRDP,48361c411e50826cb602c7aab773a8a20e1da6bc,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_read_ChallengeMessage,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_read_NegotiateMessage,Unknown,Unknown,
CVE-2020-4031,FreeRDP/FreeRDP,6d86e20e1e7caaab4f0c7f89e36d32914dbccc52,server/shadow/shadow_server.c,shadow_server_start,client/common/file.c,freerdp_client_populate_settings_from_rdp_file,Unknown,Unknown,
CVE-2022-39319,FreeRDP/FreeRDP,11555828d2cf289b350baba5ad1f462f10b80b76,channels/urbdrc/client/data_transfer.c,urbdrc_process_io_control,channels/urbdrc/client/data_transfer.c,urb_control_transfer,Unknown,Unknown,
CVE-2023-39355,FreeRDP/FreeRDP,d6f9d33a7db0b346195b6a15b5b99944ba41beee,libfreerdp/codec/planar.c,freerdp_bitmap_planar_context_reset,libfreerdp/codec/nsc.c,nsc_context_initialize,Unknown,Unknown,
CVE-2024-32661,FreeRDP/FreeRDP,71e463e31b4d69f4022d36bfc814592f56600793,libfreerdp/core/info.c,rdp_write_logon_info_v1,libfreerdp/core/info.c,rdp_write_logon_info_v2,Unknown,Unknown,TP
CVE-2024-32662,FreeRDP/FreeRDP,626d10a94a88565d957ddc30768ed08b320049a7,libfreerdp/core/redirection.c,rdp_redirection_read_base64_wchar,libfreerdp/common/settings.c,freerdp_settings_set_string_from_utf16N,Unknown,Unknown,
