cveid,vul_file,vul_line,vul_func,pat_file,pat_line,pat_func,tar_file,tar_line,tar_func
radareorg_radare2/CVE-2017-7854_d2632f64,,,,wasm.c,593,r_bin_wasm_get_global_entries,/home/cyf/repo_dataset/radareorg/radare2/libr/flag/tags.c,62,r_flag_tags_get
radareorg_radare2/OSV-2018-194_5783cf42,,,,task.c,240,r_core_task_decref,/home/cyf/repo_dataset/radareorg/radare2/libr/fs/fs.c,296,r_fs_close
radareorg_radare2/OSV-2020-317_7d30ff52,cbin.c,1954,bin_symbols,cbin.c,1954,bin_symbols,/home/cyf/repo_dataset/radareorg/radare2/libr/core/cbin.c,1888,bin_relocs
radareorg_radare2/CVE-2021-32495_5e16e2d1,marshal.c,90,get_none_object,,,,/home/cyf/repo_dataset/radareorg/radare2/libr/util/buf.c,143,r_buf_new_empty
radareorg_radare2/CVE-2022-4398_b53a1583,,,,canal.c,1379,core_anal_graph_label,/home/cyf/repo_dataset/radareorg/radare2/libr/core/visual.c,93,r_core_visual_toggle_decompiler_disasm
radareorg_radare2/CVE-2017-9949_796dd28a,ext2.c,649,grub_ext2_iterate_dir,ext2.c,649,grub_ext2_iterate_dir,/home/cyf/repo_dataset/radareorg/radare2/shlr/grub/fs/nilfs2.c,807,grub_nilfs2_iterate_dir
radareorg_radare2/CVE-2022-1284_64a82e28,canal.c,5154,r_core_anal_esil,canal.c,5154,r_core_anal_esil,/home/cyf/repo_dataset/radareorg/radare2/libr/core/anal_tp.c,605,r_core_anal_type_match
radareorg_radare2/CVE-2017-16358_d31c4d3c,bin.c,233,string_scan_range,bin.c,233,string_scan_range,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/bfile.c,105,string_scan_range
radareorg_radare2/CVE-2018-12320_90b71c01,bb.c,68,r_anal_bb_list_new,bb.c,72,r_anal_bb_list_new,/home/cyf/repo_dataset/radareorg/radare2/shlr/ar/ar.c,270,ar_open_all
radareorg_radare2/OSV-2020-64_97f2d9cf,elf.c,2736,populate_relocs_record,,,,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/mips/plugin_cs.c,1416,encode
radareorg_radare2/CVE-2018-11378_bd276ef2,wasm.c,208,wasm_dis,wasm.c,208,wasm_dis,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/wasm/plugin.c,356,wasm_decode
radareorg_radare2/CVE-2018-11379_4e1cf0d3,pe.c,2733,get_nb10,,,,/home/cyf/repo_dataset/radareorg/radare2/libr/anal/c/tccgen.c,1700,vpush_tokc
radareorg_radare2/CVE-2022-1809_919e3ac1,vtable.c,73,vtable_is_value_in_text_section,,,,/home/cyf/repo_dataset/radareorg/radare2/shlr/grub/kern/fs.c,247,grub_fs_blocklist_read
radareorg_radare2/CVE-2017-6194_72794dc3,bin_bflt.c,10,load_bytes,,,,/home/cyf/repo_dataset/radareorg/radare2/shlr/zip/zip/zip_fread.c,39,zip_fread
radareorg_radare2/CVE-2022-1649_a5aafb99,mach0.c,3846,MACH0_,mach0.c,3846,MACH0_,/home/cyf/repo_dataset/radareorg/radare2/shlr/grub/include/grub/unicode.h,255,grub_unicode_glyph_from_code
radareorg_radare2/CVE-2022-0519_6c4428f0,class.c,6512,r_bin_java_element_pair_calc_size,,,,/home/cyf/repo_dataset/radareorg/radare2/libr/flag/flag.c,130,filter_item_name
